地址,經度,緯度
          台北市文山區指南里指南路3段22巷1~30號,121.5842638,24.99182226
                台北市松山區光復北路31~60號,121.5679293,25.06295685
           台北市內湖區港富里麗山街328巷1~30號,121.5737379,25.04079745
         台北市大同區南芳里延平北路2段241~270號,121.5236461,25.06707618
                 台北市萬華區雅江街31~60號,121.5737379,25.04079745
               台北市中山區大直街84巷1~30號,121.5484835,25.07311455
         台北市內湖區紫陽里文德路22巷59弄1~30號,121.5737379,25.04079745
         台北市中正區螢雪里重慶南路3段74巷1~30號,121.5302879,25.03549869
                  台北市中山區農安街1~30號,121.5484835,25.07311455
      台北市北投區吉利里23鄰吉利街320巷1弄1~30號,121.5282024,25.15136446
           台北市萬華區忠德里4鄰寶興街91~120號,121.5737379,25.04079745
            台北市松山區民生東路5段181~210號,121.5679293,25.06295685
            台北市內湖區內湖路1段359巷1~30號,121.5737379,25.04079745
           台北市北投區智仁里杏林二路28巷1~30號,121.5282024,25.15136446
             台北市萬華區貴陽街2段151~180號,121.5737379,25.04079745
               台北市大同區永樂里甘谷街1~30號,121.5236461,25.06707618
        台北市萬華區富民里4鄰貴陽街2段151~180號,102.5044732,25.22808509
            台北市松山區民生東路4段55巷1~30號,121.5679293,25.06295685
           台北市萬華區西園路2段261巷31~60號,121.5737379,25.04079745
        台北市文山區萬和里1鄰溪州街137巷61~90號,121.5842638,24.99182226
          台北市士林區三玉里忠誠路2段41巷1~30號,121.5612886,25.1289048
            台北市中山區中山北路2段93巷1~30號,121.5484835,25.07311455
            台北市內湖區康樂街61巷12弄1~30號,121.5737379,25.04079745
          台北市北投區永欣里石牌路2段181~210號,121.5282024,25.15136446
       台北市南港區舊莊里舊莊街1段145巷6弄1~30號,121.6199637,25.03896698
              台北市北投區奇岩里奇岩路31~60號,121.5282024,25.15136446
            台北市中山區建國北路3段22巷1~30號,121.5484835,25.07311455
           台北市北投區榮華里榮華一路15巷1~30號,121.5282024,25.15136446
                 台北市內湖區五分街61~90號,121.5737379,25.04079745
           台北市內湖區瑞光里瑞光路235巷1~30號,121.5737379,25.04079745
               台北市中山區遼寧街241~270號,121.5484835,25.07311455
       台北市文山區指南里15鄰指南路3段26巷1~30號,121.5842638,24.99182226
               台北市松山區撫遠街181~210號,121.5679293,25.06295685
           台北市萬華區萬大路493巷12弄1~30號,121.5737379,25.04079745
           台北市內湖區康樂街136巷15弄1~30號,121.5737379,25.04079745
            台北市松山區南京東路5段211~240號,121.5679293,25.06295685
        台北市內湖區樂康里康樂街136巷15弄1~30號,121.5737379,25.04079745
         台北市士林區仁勇里16鄰大東路121~150號,121.5612886,25.1289048
         台北市萬華區環河南路2段250巷3弄1~30號,121.5737379,25.04079745
      台北市內湖區樂康里康樂街72巷17弄121~150號,121.5737379,25.04079745
           台北市大同區揚雅里民族西路151~180號,121.5236461,25.06707618
      台北市文山區興業里23鄰辛亥路5段124巷1~30號,121.5842638,24.99182226
     台北市北投區智仁里21鄰中和街525巷10弄1~30號,121.5282024,25.15136446
             台北市中山區大直街62巷5弄1~30號,121.5484835,25.07311455
     台北市內湖區湖興里20鄰成功路2段250巷31~60號,121.5737379,25.04079745
            台北市文山區興隆路2段154巷1~30號,121.5842638,24.99182226
             台北市中山區大直街62巷5弄1~30號,121.5484835,25.07311455
              台北市萬華區德昌街132巷1~30號,121.5737379,25.04079745
            台北市內湖區港都里港華街85巷1~30號,121.5737379,25.04079745
               台北市萬華區西藏路481~510號,121.5737379,25.04079745
          台北市中山區敬業三路162巷121~150號,121.5484835,25.07311455
            台北市中山區敬業三路162巷31~60號,121.5484835,25.07311455
              台北市內湖區麗山街328巷1~30號,121.5737379,25.04079745
       台北市內湖區樂康里康樂街136巷18弄31~60號,121.5737379,25.04079745
                      台北市信義區忠孝東路,121.5737379,25.04079745
            台北市松山區民生東路5段181~210號,121.5679293,25.06295685
              台北市中山區吉林路379巷1~30號,121.5484835,25.07311455
                  台北市中山區農安街1~30號,121.5484835,25.07311455
               台北市松山區撫遠街391~420號,121.5679293,25.06295685
             台北市松山區寶清街104巷31~60號,121.5679293,25.06295685
              台北市中山區長安東路1段31~60號,121.5484835,25.07311455
         台北市內湖區西湖里內湖路1段323巷1~30號,121.5737379,25.04079745
       台北市南港區舊莊里舊莊街1段145巷6弄1~30號,121.6199637,25.03896698
            台北市士林區菁山里永公路511~540號,121.5612886,25.1289048
          台北市文山區試院里29鄰木柵路1段1~30號,121.5842638,24.99182226
           台北市信義區大道里大道路7巷1弄1~30號,121.5737379,25.04079745
            台北市大同區斯文里大龍街89巷1~30號,121.5236461,25.06707618
     台北市大安區車層里忠孝東路4段216巷19弄1~30號,121.553725,25.0301506
          台北市北投區大屯里復興三路521巷1~30號,121.5282024,25.15136446
         台北市士林區聖山里20鄰忠義街46巷1~30號,121.5612886,25.1289048
            台北市大安區虎嘯里樂業街15巷1~30號,121.553725,25.0301506
            台北市內湖區新明路380巷9弄1~30號,121.5737379,25.04079745
             台北市中山區中山北路1段91~120號,121.5484835,25.07311455
           台北市萬華區萬大路322巷55弄1~30號,121.5737379,25.04079745
           台北市北投區開明里珠海路107巷1~30號,121.5282024,25.15136446
          台北市中正區文祥里金山南路一段91~120號,121.5302879,25.03549869
                 台北市松山區延壽街61~90號,121.5679293,25.06295685
                台北市松山區健康路7巷1~30號,121.5679293,25.06295685
            台北市信義區五全里永吉路181~210號,121.5737379,25.04079745
           台北市內湖區康寧路3段245巷31~60號,121.5737379,25.04079745
          台北市文山區樟新里木新路3段301~330號,121.5842638,24.99182226
             台北市萬華區中華路2段481~510號,121.5737379,25.04079745
             台北市內湖區麗山街46巷5弄1~30號,121.5737379,25.04079745
          台北市內湖區康寧路1段156巷7弄1~30號,121.5737379,25.04079745
       台北市北投區榮光里致遠一路2段40巷1弄1~30號,121.5282024,25.15136446
               台北市中正區黎明里信陽街1~30號,121.5302879,25.03549869
               台北市萬華區東園街66巷1~30號,121.5737379,25.04079745
              台北市北投區文化里文化三路1~30號,121.5282024,25.15136446
     台北市士林區福志里24鄰中山北路5段756巷1~30號,121.5612886,25.1289048
           台北市中正區板溪里南昌路2段91~120號,121.5302879,25.03549869
        台北市松山區南京東路5段291巷44弄1~30號,121.5679293,25.06295685
         台北市松山區南京東路5段59巷28弄1~30號,121.5679293,25.06295685
            台北市文山區試院里木柵路1段31~60號,121.5842638,24.99182226
            台北市北投區洲美里洲美街81巷1~30號,121.5282024,25.15136446
               台北市中山區錦州街181~210號,121.5484835,25.07311455
             台北市中山區林森北路119巷1~30號,121.5484835,25.07311455
          台北市文山區萬祥里興隆路1段70巷1~30號,121.5842638,24.99182226
         台北市士林區永倫里6鄰社中街426巷1~30號,121.5612886,25.1289048
          台北市大同區斯文里承德路3段85巷1~30號,121.5236461,25.06707618
                台北市大同區南京西路31~60號,121.5236461,25.06707618
          台北市松山區民生東路5段36巷6弄1~30號,121.5679293,25.06295685
      台北市文山區興得里興隆路3段192巷8弄31~60號,121.5842638,24.99182226
            台北市信義區大道里林口街151~180號,121.5737379,25.04079745
             台北市中山區八德路2段241~270號,121.5484835,25.07311455
             台北市北投區泉源里東昇路91~120號,121.5282024,25.15136446
                     台北市中正區光復里7號,121.5302879,25.03549869
              台北市中山區長安東路2段31~60號,121.5484835,25.07311455
              台北市中山區樂群二路181~210號,121.5484835,25.07311455
                 台北市中山區錦州街31~60號,121.5484835,25.07311455
