編號,案類,發生(現)日期,發生時段,發生(現)地點
128,住宅竊盜,1040220,06~08,台北市北投區文林里致遠一路1段31~60號
129,住宅竊盜,1040221,18~20,台北市大安區通化里17鄰通化街39巷62弄1~30號
130,住宅竊盜,1040222,02~04,台北市文山區樟新里樟新街32巷1~30號
131,住宅竊盜,1040223,00~02,台北市士林區義信里大南路61~90號
132,住宅竊盜,1040223,12~14,台北市南港區中南里中南街74巷31~60號
133,住宅竊盜,1040223,14~16,台北市信義區大仁里福德街84巷1弄1~30號
134,住宅竊盜,1040223,20~22,台北市士林區蘭雅里德行東路31~60號
135,住宅竊盜,1040224,12~14,台北市萬華區萬大路493巷48弄1~30號
136,住宅竊盜,1040224,16~18,台北市北投區中心里8鄰泉源路31~60號
137,住宅竊盜,1040224,20~22,台北市內湖區西湖里26鄰內湖路1段285巷65弄61~90號
138,住宅竊盜,1040225,04~06,台北市中正區黎明里南陽街1~30號
139,住宅竊盜,1040225,08~10,台北市士林區聖山里忠誠路1段147巷1~30號
140,住宅竊盜,1040225,10~12,台北市南港區舊莊里舊莊街1段145巷6弄1~30號
141,住宅竊盜,1040226,02~04,台北市大安區義安里敦化南路2段63巷31~60號
142,住宅竊盜,1040226,14~16,台北市中正區幸市里臨沂街33巷1~30號
143,住宅竊盜,1040226,20~22,台北市內湖區西湖里內湖路1段323巷14弄1~30號
144,住宅竊盜,1040227,00~02,台北市萬華區西寧南路206巷1~30號
145,住宅竊盜,1040227,02~04,台北市萬華區西園路2段151~180號
146,住宅竊盜,1040227,10~12,台北市北投區中央里大興街24巷7弄1~30號
147,住宅竊盜,1040228,20~22,台北市內湖區週美里新明路3800巷4弄1~30號
148,住宅竊盜,1040228,20~22,台北縣汐止市汐萬路2段1~30號
149,住宅竊盜,1040228,20~22,台北市萬華區東園街73巷61~90號
150,住宅竊盜,1040228,20~22,台北縣汐止市汐萬路2段1~30號
151,住宅竊盜,1040301,08~10,台北縣泰山鄉中央路5巷31~60號
152,住宅竊盜,1040301,12~14,台北縣汐止市汐萬路2段
153,住宅竊盜,1040302,08~10,台北市松山區八德路4段106巷6弄1~30號
154,住宅竊盜,1040304,00~02,台北市北投區福興里自強街5巷61~90號
155,住宅竊盜,1040304,16~18,台北市士林區社新里延平北路6段273巷1~30號
156,住宅竊盜,1040304,16~18,台北市內湖區湖興里成功路2段312巷31~60號
157,住宅竊盜,1040305,04~06,台北市北投區吉慶里11鄰致遠二路1~30號
158,住宅竊盜,1040305,04~06,台北市萬華區和平西路3段55巷8弄1~30號
159,住宅竊盜,1040305,14~16,台北市內湖區葫洲里2鄰民權東路6段280巷25弄6之1~30號
160,住宅竊盜,1040306,02~04,台北縣蘆洲市中正路211~240號
161,住宅竊盜,1040306,04~06,台北市松山區八德路3段121~150號
162,住宅竊盜,1040306,20~22,台北市大安區建安里忠孝東路4段181巷40弄1~30號
163,住宅竊盜,1040307,04~06,台北市北投區大同里大業路481~510號
164,住宅竊盜,1040308,16~18,台北市萬華區內江街151~180號
165,住宅竊盜,1040308,22~24,台北市萬華區中華路2段416巷1~30號
166,住宅竊盜,1040309,04~06,台北市文山區萬盛里羅斯福路5段61~90號
167,住宅竊盜,1040310,00~02,台北市士林區天母里中山北路7段219巷1~30號
168,住宅竊盜,1040310,00~02,台北市松山區八德路4段106巷10弄1~30號
169,住宅竊盜,1040310,12~14,台北市萬華區昆明街211~240號
170,住宅竊盜,1040310,12~14,台北市萬華區昆明街211~240號
171,住宅竊盜,1040311,08~10,台北市中山區新生北路22段58巷1~30號
172,住宅竊盜,1040312,00~02,台北市中正區水源里羅斯福路4段61~90號
173,住宅竊盜,1040312,10~12,台北市大同區至聖里大龍街259巷10弄1~30號
174,住宅竊盜,1040312,16~18,台北市大安區古莊里浦城街13巷1~30號
175,住宅竊盜,1040313,02~04,台北市北投區中庸里10鄰大同街181~210號
176,住宅竊盜,1040313,22~24,台北市中山區松江路37巷1~30號
177,住宅竊盜,1040314,02~04,台北市文山區試院里和興路91~120號
178,住宅竊盜,1040315,02~04,台北市萬華區長泰街271~300號
179,住宅竊盜,1040316,02~04,台北市萬華區中華路1段181~210號
180,住宅竊盜,1040316,08~10,台北市中正區螢雪里水源路151~180號
181,住宅竊盜,1040317,00~02,台北市北投區榮華里17鄰明德路118巷1~30號
182,住宅竊盜,1040317,12~14,台北市南港區萬福里同德路50巷1~30號
183,住宅竊盜,1040319,12~14,台北市文山區萬和里溪洲街61~90號
184,住宅竊盜,1040319,22~24,台北市北投區永和里同德街44巷1~30號
185,住宅竊盜,1040320,12~14,台北市萬華區糖?里大理街160巷26弄1~30號
186,住宅竊盜,1040320,18~20,台北市松山區南京東路5段23巷7弄1~30號
187,住宅竊盜,1040320,18~20,台北市萬華區漢口街2段61~90號
188,住宅竊盜,1040323,16~18,台北縣林口鄉仁愛路1段272巷1~30號
189,住宅竊盜,1040324,06~08,台北市北投區永明里石牌路2段97巷1~30號
190,住宅竊盜,1040324,08~10,台北市松山區民權東路3段153巷3弄1~30號
191,住宅竊盜,1040324,10~12,台北市萬華區東園街85巷4弄1~30號
192,住宅竊盜,1040325,12~14,台北市中正區文祥里金山南路1段79巷1~30號
193,住宅竊盜,1040325,14~16,台北市大安區龍門里10鄰和平東路2段18巷13弄1~30號
194,住宅竊盜,1040325,22~24,台北市中山區合江街61~90號
195,住宅竊盜,1040326,16~18,台北市文山區興福里1鄰興隆路1段260巷1~30號
196,住宅竊盜,1040327,18~20,台北市文山區萬隆里羅斯福路5段241~270號
197,住宅竊盜,1040327,18~20,台北市信義區黎平里和平東路3段207巷6弄1~30號
198,住宅竊盜,1040327,20~22,桃園縣楊梅鎮文化街347巷6弄1~30號
199,住宅竊盜,1040328,10~12,台北市中山區民權東路3段1~30號
200,住宅竊盜,1040329,08~10,台北市松山區南京東路5段31~60號
201,住宅竊盜,1040330,08~10,台北市中山區松江路332﹑334號
202,住宅竊盜,1040330,10~12,台北市士林區平等里平菁街105巷1~30號
203,住宅竊盜,1040330,12~14,台北市文山區萬利街2巷1~30號
204,住宅竊盜,1040330,16~18,台北縣板橋市民生路3段301~330號
205,住宅竊盜,1040330,16~18,台北縣板橋市民生路3段301~330號
206,住宅竊盜,1040331,08~10,台北市內湖區金瑞里金龍路1~30號
207,住宅竊盜,1040331,10~12,桃園縣大溪鎮仁和東街1~30號
208,住宅竊盜,1040331,22~24,台北市萬華區萬大路493巷28弄1~30號
209,住宅竊盜,1040401,00~02,台北市中山區長春路241~270號
210,住宅竊盜,1040401,08~10,台北縣三重市分子尾街31~60號
